STAGIONE,SETTIMANA,ORDINE,ILI_NORM,TEMP_lag2,HUMIDITY_lag1,PM25_lag1,PM10_lag1,NO2_lag1,ILI_NORM_lag1
22-23,50,3,7.166220636336604,6.365000000000001,92.84400000000002,25.49,29.875,43.410000000000004,9.4647337608029
22-23,51,4,7.437248218159281,4.795000000000001,91.834,29.570000000000004,37.0,46.912,7.166220636336604
22-23,52,5,7.728200641586469,3.41,89.71,43.52333333333333,54.6075,47.708000000000006,7.437248218159281
22-23,1,6,6.708222024339566,7.343333333333334,94.476,42.95333333333334,48.9275,37.388,7.728200641586469
22-23,2,7,4.520972743593928,8.674999999999999,96.446,22.52333333333333,26.6425,33.934000000000005,6.708222024339566
22-23,3,8,4.5986093552465235,9.000000000000002,70.614,32.43,42.107499999999995,60.612,4.520972743593928
22-23,4,9,3.944802759862007,7.1483333333333325,81.116,23.713333333333335,29.5,49.8,4.5986093552465235
22-23,5,10,4.880536130536131,3.798333333333334,69.144,29.02333333333333,37.6425,52.922000000000004,3.944802759862007
22-23,6,11,4.2622950819672125,5.386666666666667,59.906000000000006,27.906666666666666,39.1425,50.05,4.880536130536131
22-23,7,12,4.767897091722595,8.403333333333332,51.498000000000005,31.49666666666667,41.42,55.116,4.2622950819672125
22-23,8,13,4.8314941843125565,4.058333333333333,66.286,39.19333333333333,52.6075,65.128,4.767897091722595
22-23,9,14,4.689421894218943,9.573333333333336,81.646,43.23666666666667,59.4975,45.684000000000005,4.8314941843125565
22-23,10,15,4.778572515598843,10.26,70.024,25.333333333333332,34.355000000000004,46.872,4.689421894218943
22-23,11,16,4.600952948183442,7.933333333333333,60.912,16.86,26.822499999999998,38.00000000000001,4.778572515598843
22-23,12,17,4.832435667265111,12.838333333333333,51.263999999999996,19.046666666666667,26.785,39.51199999999999,4.600952948183442
22-23,13,18,4.35999410811607,11.743333333333334,62.403999999999996,22.856666666666666,33.1425,40.35799999999999,4.832435667265111
22-23,14,19,4.700854700854701,14.408333333333333,49.308,8.093333333333334,18.355,31.415999999999997,4.35999410811607
22-23,15,20,4.312953995157385,13.578333333333333,49.577999999999996,14.616666666666667,26.3575,30.912,4.700854700854701
23-24,50,3,7.5346185175128975,6.096666666666667,87.416,28.810000000000002,37.035,47.773999999999994,7.351242056614674
23-24,51,4,8.307031940411564,3.9599999999999995,90.902,33.71666666666667,45.82,45.604,7.5346185175128975
23-24,52,5,10.59504743131699,6.300000000000001,69.272,34.38,47.427499999999995,56.215999999999994,8.307031940411564
23-24,1,6,7.356871571247714,8.848333333333334,84.264,31.03,40.85,44.33,10.59504743131699
23-24,2,7,4.345127250155183,9.276666666666667,92.374,23.429999999999996,29.32,40.674,7.356871571247714
23-24,3,8,4.1057973243118555,6.448333333333333,76.862,27.62,36.464999999999996,47.868,4.345127250155183
23-24,4,9,4.151732377538829,4.6450000000000005,84.268,33.86000000000001,43.2525,50.86,4.1057973243118555
23-24,5,10,4.166666666666666,3.9266666666666663,77.174,54.76333333333333,72.105,66.758,4.151732377538829
23-24,6,11,4.004004004004004,5.146666666666666,81.686,50.906666666666666,68.68,65.53,4.166666666666666
23-24,7,12,4.066916642630517,6.47,87.162,30.76,42.2825,39.766,4.004004004004004
23-24,8,13,3.5922192247621756,10.465000000000002,76.994,54.526666666666664,72.28500000000001,59.974000000000004,4.066916642630517
23-24,9,14,4.202736665735828,10.145,81.61800000000001,40.61666666666667,53.25,42.078,3.5922192247621756
23-24,10,15,3.519698725376593,10.215,93.864,10.906666666666666,14.365,37.215999999999994,4.202736665735828
23-24,11,16,3.855937876556433,9.97,86.28,11.476666666666667,16.305,28.66,3.519698725376593
23-24,12,17,3.683437875350327,9.58,68.888,16.146666666666665,24.68,31.942,3.855937876556433
23-24,13,18,4.157549234135667,13.17,66.482,25.573333333333334,35.322500000000005,28.060000000000002,3.683437875350327
23-24,14,19,3.7408884610094892,14.589999999999998,80.558,12.57,25.392500000000002,31.75,4.157549234135667
23-24,15,20,4.002677376171352,10.963333333333333,68.23,8.93,19.1625,30.732,3.7408884610094892
24-25,50,3,3.770586535683328,7.5566666666666675,85.482,36.0,53.5375,55.536,3.643322937340516
24-25,51,4,4.9342570337904705,5.329999999999999,89.504,31.666666666666668,43.93,45.315999999999995,3.770586535683328
24-25,52,5,7.540465850769838,5.276666666666666,73.81199999999998,30.12,42.1775,52.428,4.9342570337904705
24-25,1,6,6.78345626975764,6.260000000000001,54.017999999999994,28.236666666666668,41.3225,56.152,7.540465850769838
24-25,2,7,6.160812294182217,5.756666666666667,80.666,66.0,88.85499999999999,52.65,6.78345626975764
24-25,3,8,5.179055500071337,5.598333333333334,86.576,21.713333333333335,29.3925,40.456,6.160812294182217
24-25,4,9,6.45421540943929,5.2316666666666665,70.906,31.763333333333332,48.07,59.019999999999996,5.179055500071337
24-25,5,10,6.814580031695722,3.768333333333333,96.25800000000001,18.57,24.6075,41.114,6.45421540943929
24-25,6,11,6.632096069868995,6.875,93.31,18.856666666666666,26.324999999999996,43.524,6.814580031695722
24-25,7,12,6.504617055947855,7.558333333333333,83.64,32.096666666666664,43.8575,47.2,6.632096069868995
24-25,8,13,5.0815473783528775,5.698,88.10000000000001,23.810000000000002,31.107499999999998,38.862,6.504617055947855
24-25,9,14,4.715558601782043,7.081666666666666,70.452,44.663333333333334,60.28750000000001,40.275999999999996,5.0815473783528775
24-25,10,15,4.078188721698776,6.439999999999999,80.224,36.0,48.0,36.634,4.715558601782043
24-25,11,16,3.8597483387530045,10.17,54.898,35.42666666666667,54.035,59.827999999999996,4.078188721698776
24-25,12,17,3.284723205436783,11.265,86.25,12.563333333333333,16.18,27.639999999999997,3.8597483387530045
24-25,13,18,3.5821711785616626,10.843333333333334,70.97200000000001,20.523333333333333,31.142500000000002,33.86,3.284723205436783
24-25,14,19,3.3421052631578947,9.7,66.576,13.143333333333333,20.2025,34.142,3.5821711785616626
24-25,15,20,3.439769768397972,14.266666666666666,49.152,15.093333333333334,23.402500000000003,31.206,3.3421052631578947
25-26,50,3,7.791411042944785,5.963333333333334,93.228,31.713333333333335,37.135,42.29600000000001,7.319235152589592
25-26,51,4,8.021038790269559,8.205,83.89,38.76,48.894999999999996,51.761999999999986,7.791411042944785
25-26,52,5,9.236031927023944,8.094999999999999,93.254,31.856666666666666,37.7525,42.690000000000005,8.021038790269559
25-26,1,6,6.8213693739640435,8.805,86.966,16.76,19.355,35.239999999999995,9.236031927023944
25-26,2,7,4.675675675675675,7.148333333333333,86.72999999999999,51.330000000000005,61.965,42.300000000000004,6.8213693739640435
25-26,3,8,4.10117176336096,3.293333333333333,71.41,34.52,41.6425,51.324,4.675675675675675
25-26,4,9,4.143840427026268,2.0183333333333335,84.81800000000001,41.38,48.2825,48.072,4.10117176336096
25-26,5,10,4.314516129032258,6.4316666666666675,82.20599999999999,33.71666666666667,41.0,44.768,4.143840427026268
25-26,6,11,3.42241614398691,4.3549999999999995,92.48400000000001,28.570000000000004,34.75,43.172000000000004,4.314516129032258
25-26,7,12,3.89363722697056,5.653333333333332,93.292,24.143333333333334,27.5575,42.019999999999996,3.42241614398691
25-26,8,13,3.2523672293124744,7.1066666666666665,86.36000000000001,19.523333333333333,24.964999999999996,40.386,3.89363722697056
25-26,9,14,3.6171916711158567,9.38,69.302,17.666666666666668,23.6725,41.907999999999994,3.2523672293124744
25-26,10,15,3.8968019349637193,9.1,81.256,37.23666666666667,49.357499999999995,41.976,3.6171916711158567
25-26,11,16,3.6056718433490884,11.601666666666667,79.58800000000001,39.95333333333333,52.57,37.88,3.8968019349637193
25-26,12,17,3.6074270557029178,11.56,80.67999999999999,34.093333333333334,41.427499999999995,35.082,3.6056718433490884
25-26,13,18,3.4451378055122204,12.056666666666665,48.690000000000005,14.43,20.177500000000002,30.564,3.6074270557029178
25-26,14,19,3.3917977817900438,12.473333333333331,38.297999999999995,12.42,19.36,34.480000000000004,3.4451378055122204
25-26,15,20,3.4444444444444446,12.548333333333334,31.208,10.556666666666667,19.75,32.854,3.3917977817900438
